                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     56,               0.047725,               0.044921,               0.032715,              0.0050183,                0.85051,                0.54917,                0.61379,                0.32324,                0.75221,                0.50468,                0.53301,                0.24123,               0.038987,               0.040459,               0.026628,              0.0039836,                0.00835,                0.00835,                0.00835
                     57,               0.047491,               0.044671,               0.032294,              0.0049306,                0.81403,                0.58177,                0.63966,                0.32547,                0.71594,                0.52952,                  0.572,                0.26116,               0.039115,               0.040431,               0.026767,               0.003767,                0.00832,                0.00832,                0.00832
                     58,               0.047001,               0.044479,               0.032263,              0.0047342,                0.72385,                0.59815,                0.64292,                0.33012,                0.60896,                0.53056,                0.55657,                0.25054,               0.038592,               0.040381,               0.026516,              0.0038881,                0.00829,                0.00829,                0.00829
                     59,               0.047044,               0.044253,               0.032304,              0.0047164,                0.72205,                0.59099,                 0.6491,                0.33558,                0.61721,                0.52617,                 0.5298,                0.23553,               0.038185,               0.041095,               0.026798,              0.0037046,                0.00826,                0.00826,                0.00826
                     60,               0.047022,               0.044726,               0.032881,              0.0048236,                 0.7699,                0.58147,                 0.6298,                0.32209,                0.61882,                0.53381,                0.55516,                0.25985,               0.038582,               0.040356,               0.027057,              0.0038817,                0.00823,                0.00823,                0.00823
                     61,               0.046342,               0.043912,               0.032141,              0.0047024,                0.74164,                0.58208,                0.62935,                0.32693,                0.60157,                0.53914,                0.55079,                0.24257,                0.03854,               0.040544,               0.026433,              0.0041479,                 0.0082,                 0.0082,                 0.0082
                     62,               0.046159,               0.044125,               0.031894,              0.0045915,                0.78137,                0.57717,                0.64542,                 0.3334,                0.65252,                0.53981,                 0.5803,                0.26977,               0.038318,               0.040417,               0.026535,              0.0036295,                0.00817,                0.00817,                0.00817
                     63,               0.046443,               0.043657,               0.032019,              0.0046849,                0.74527,                0.64726,                0.65504,                0.33751,                0.59905,                0.52905,                0.54189,                0.25075,               0.038345,               0.040143,               0.026396,              0.0036317,                0.00814,                0.00814,                0.00814
                     64,               0.046447,               0.044455,               0.032069,              0.0047402,                0.66898,                0.64744,                0.65505,                0.33292,                0.65344,                0.53548,                0.57093,                0.28406,               0.038655,               0.039829,                 0.0266,              0.0039032,                0.00811,                0.00811,                0.00811
                     65,               0.046248,               0.043934,               0.032382,              0.0046336,                0.74927,                0.64753,                0.67562,                0.33128,                 0.5766,                0.55458,                0.53764,                0.24294,               0.038759,               0.039774,               0.026524,              0.0036381,                0.00808,                0.00808,                0.00808
                     66,               0.046384,               0.043361,               0.032176,              0.0045846,                0.71975,                0.64326,                0.66455,                0.34671,                0.59679,                0.55673,                 0.5447,                  0.252,               0.038083,               0.039624,                 0.0263,              0.0034155,                0.00805,                0.00805,                0.00805
                     67,               0.046247,               0.043304,               0.031749,              0.0045574,                0.73796,                0.63726,                0.66763,                0.34625,                0.63388,                0.54465,                0.54084,                0.24981,               0.038009,               0.039972,               0.026424,              0.0034951,                0.00802,                0.00802,                0.00802
                     68,               0.045731,               0.043445,               0.031362,              0.0045043,                 0.7143,                0.63121,                0.65497,                0.33738,                0.61918,                0.53837,                0.54543,                0.24225,               0.037836,               0.039969,               0.026787,              0.0035988,                0.00799,                0.00799,                0.00799
                     69,               0.045882,                0.04343,               0.031945,              0.0044892,                0.80013,                0.59442,                0.66917,                0.34409,                0.66847,                0.52614,                0.56814,                0.27217,               0.038635,               0.039417,                0.02636,              0.0034263,                0.00796,                0.00796,                0.00796
                     70,               0.045642,               0.043492,               0.031724,               0.004508,                0.76451,                0.59865,                0.65649,                0.34694,                0.67713,                0.56758,                0.59078,                 0.2835,               0.037966,               0.039368,               0.026059,              0.0033382,                0.00793,                0.00793,                0.00793
                     71,               0.045575,               0.043208,               0.031675,              0.0044671,                0.80177,                0.63968,                0.67743,                0.35564,                0.67675,                0.56473,                0.56451,                0.26323,               0.037888,               0.039162,               0.025968,              0.0032297,                 0.0079,                 0.0079,                 0.0079
                     72,               0.045442,               0.043401,                0.03157,              0.0045457,                0.73899,                0.64902,                 0.6761,                0.35354,                 0.6909,                0.55189,                0.57422,                0.26952,               0.037453,               0.038929,                0.02591,              0.0033148,                0.00787,                0.00787,                0.00787
                     73,               0.045589,               0.043246,               0.032204,              0.0043872,                0.75512,                0.61268,                0.67085,                0.35288,                0.67679,                0.54478,                0.57571,                0.26412,               0.038009,               0.038487,               0.026075,              0.0031646,                0.00784,                0.00784,                0.00784
                     74,               0.045355,               0.042554,               0.031332,              0.0043076,                0.80616,                0.62064,                0.68261,                0.35721,                0.71174,                0.55037,                0.58831,                0.27841,               0.037384,               0.038772,               0.026102,              0.0031944,                0.00781,                0.00781,                0.00781
                     75,               0.045447,                0.04317,               0.031595,              0.0043269,                0.82204,                0.61932,                0.68128,                0.36168,                0.69101,                0.54755,                  0.573,                0.26709,               0.037127,               0.038506,                0.02586,              0.0031465,                0.00778,                0.00778,                0.00778
                     76,               0.045038,               0.042435,               0.030737,              0.0044031,                0.81045,                0.64217,                0.67646,                0.36442,                0.68096,                0.56555,                0.58866,                0.28087,               0.037168,               0.038741,               0.025955,              0.0033374,                0.00775,                0.00775,                0.00775
                     77,               0.045209,               0.042945,               0.031799,              0.0043494,                0.80438,                0.61453,                0.67837,                0.35457,                0.69216,                0.51952,                0.57305,                0.27154,               0.037033,               0.039003,               0.025765,              0.0032186,                0.00772,                0.00772,                0.00772
                     78,               0.045213,                0.04352,               0.031748,              0.0043987,                0.80715,                0.61919,                0.67709,                0.35237,                0.66522,                0.54604,                0.57408,                0.25175,                0.03736,               0.038598,                0.02589,              0.0031335,                0.00769,                0.00769,                0.00769
                     79,               0.044895,               0.042731,               0.031193,              0.0042953,                0.73455,                0.65237,                0.68245,                0.35766,                0.73325,                0.53986,                0.59168,                0.28474,               0.037078,               0.038403,               0.025806,              0.0030812,                0.00766,                0.00766,                0.00766
                     80,               0.044536,               0.042847,               0.031236,              0.0043215,                0.81543,                0.62573,                0.67897,                0.36019,                0.67182,                0.56518,                0.57904,                 0.2641,               0.036959,               0.038382,               0.025716,               0.003072,                0.00763,                0.00763,                0.00763
                     81,               0.044764,               0.042944,                0.03063,              0.0043255,                0.73601,                0.64578,                0.67376,                0.35567,                0.65161,                0.57459,                 0.5856,                 0.2737,               0.037251,               0.038359,               0.025801,              0.0030482,                 0.0076,                 0.0076,                 0.0076
                     82,               0.044507,               0.042563,               0.031006,              0.0042485,                0.78629,                0.63468,                0.68481,                0.36464,                0.64869,                  0.547,                0.54989,                0.26068,               0.037227,               0.038053,               0.025701,              0.0029704,                0.00757,                0.00757,                0.00757
                     83,               0.044859,                0.04228,               0.031382,              0.0043002,                0.77984,                0.63358,                0.67846,                0.36062,                0.64538,                0.55881,                0.56922,                0.26589,               0.037061,               0.038703,               0.025682,              0.0030501,                0.00754,                0.00754,                0.00754
                     84,               0.044591,               0.042863,               0.031396,              0.0042969,                0.71849,                0.65003,                0.67419,                0.35207,                 0.6728,                0.57507,                 0.5905,                0.26947,               0.036947,               0.038222,                0.02581,              0.0030069,                0.00751,                0.00751,                0.00751
                     85,               0.044574,               0.042395,               0.030879,              0.0041699,                0.81525,                0.62288,                0.67931,                0.35504,                0.66137,                0.54277,                0.55577,                0.24844,               0.036905,                0.03809,               0.025431,              0.0030263,                0.00748,                0.00748,                0.00748
                     86,               0.044082,               0.041821,               0.030299,              0.0041234,                0.78882,                0.63244,                0.68621,                0.36426,                0.64799,                 0.5701,                0.58688,                0.28347,               0.036517,               0.038073,               0.025453,              0.0029583,                0.00745,                0.00745,                0.00745
                     87,               0.044196,               0.041609,                0.03061,              0.0041061,                0.81178,                0.64309,                0.69706,                0.36795,                0.65506,                0.55225,                 0.5697,                0.26701,               0.036749,               0.037759,               0.025336,              0.0029444,                0.00742,                0.00742,                0.00742
