                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     91,               0.032446,               0.033584,               0.025048,              0.0028129,                0.79828,                0.73062,                0.76827,                  0.451,                0.73045,                0.66949,                0.67442,                0.31973,               0.028426,               0.032884,               0.022354,               0.002304,                 0.0073,                 0.0073,                 0.0073
                     92,               0.032284,               0.033845,               0.025232,              0.0027967,                0.82108,                0.74502,                0.76829,                0.45433,                0.73083,                0.66746,                0.66556,                0.31304,               0.028669,               0.032829,               0.022583,               0.002326,                0.00727,                0.00727,                0.00727
                     93,               0.032234,               0.033366,               0.025412,              0.0027651,                0.82337,                0.73157,                 0.7679,                0.46224,                0.75391,                 0.6746,                 0.6883,                0.32763,               0.028495,               0.032967,               0.022532,              0.0023645,                0.00724,                0.00724,                0.00724
                     94,               0.032159,               0.033739,               0.025476,               0.002728,                0.84064,                0.71392,                0.76112,                0.45616,                0.73618,                0.63232,                0.64808,                0.29924,               0.028536,               0.032857,               0.022457,              0.0022875,                0.00721,                0.00721,                0.00721
                     95,               0.032094,               0.033357,               0.025092,              0.0026781,                0.82569,                0.72792,                0.76371,                0.45827,                 0.7355,                0.65873,                0.68155,                0.32179,               0.028431,               0.032794,               0.022398,              0.0023097,                0.00718,                0.00718,                0.00718
                     96,               0.032068,               0.033228,               0.025318,              0.0028254,                0.83328,                0.72997,                0.77442,                0.45508,                0.71804,                0.68888,                  0.674,                0.31912,               0.028314,               0.032905,               0.022475,              0.0022553,                0.00715,                0.00715,                0.00715
                     97,               0.031925,               0.033224,               0.025211,              0.0027424,                 0.8072,                0.75131,                0.77664,                 0.4586,                 0.7066,                0.67679,                0.65149,                0.31004,               0.028335,               0.032762,               0.022455,              0.0022692,                0.00712,                0.00712,                0.00712
                     98,               0.031983,               0.033188,               0.025675,              0.0026779,                0.82816,                0.74122,                0.77277,                0.46797,                0.74307,                0.66416,                0.67572,                0.32222,               0.028265,               0.032685,                0.02231,              0.0022221,                0.00709,                0.00709,                0.00709
                     99,               0.031697,               0.033107,               0.024631,               0.002673,                0.82495,                0.73839,                0.76967,                0.46592,                0.74622,                0.68205,                0.66854,                0.30734,               0.028271,               0.032676,               0.022365,              0.0022451,                0.00706,                0.00706,                0.00706
                    100,               0.031741,               0.033041,               0.024882,              0.0026155,                0.83086,                0.74173,                0.77591,                0.46666,                0.71624,                0.66655,                0.64221,                0.29771,               0.028056,                0.03242,               0.022308,              0.0021735,                0.00703,                0.00703,                0.00703
                    101,               0.031303,               0.032839,               0.024912,              0.0026307,                0.83604,                0.73915,                0.77638,                0.46691,                0.74875,                 0.6809,                0.66637,                0.30489,               0.027937,               0.032806,               0.022282,              0.0021148,                  0.007,                  0.007,                  0.007
                    102,               0.031614,               0.032649,               0.024219,              0.0026466,                0.82326,                0.73928,                0.76434,                0.46985,                0.75861,                0.67869,                0.69031,                 0.3241,                0.02797,               0.032623,               0.022251,              0.0022732,                0.00697,                0.00697,                0.00697
                    103,               0.031682,               0.032926,               0.025011,              0.0026351,                0.82245,                0.73307,                0.76427,                 0.4621,                0.77675,                0.68866,                0.70898,                0.33238,               0.027885,                0.03266,               0.022216,              0.0022575,                0.00694,                0.00694,                0.00694
                    104,               0.031455,               0.033284,               0.025157,              0.0026809,                0.80279,                0.74833,                0.77347,                 0.4663,                0.72014,                0.69494,                0.67354,                0.32465,               0.027874,               0.032534,               0.022188,               0.002217,                0.00691,                0.00691,                0.00691
                    105,               0.031581,               0.032605,               0.024921,              0.0025272,                0.80235,                0.75483,                0.77029,                0.46969,                0.74406,                0.68583,                0.69389,                0.33762,               0.027842,               0.032627,               0.022116,              0.0022947,                0.00688,                0.00688,                0.00688
                    106,               0.031187,               0.032434,               0.024245,              0.0025706,                 0.8045,                0.74322,                0.77174,                0.46839,                0.73935,                0.69869,                0.69191,                0.32648,               0.027869,               0.032321,               0.022152,              0.0022423,                0.00685,                0.00685,                0.00685
                    107,               0.031235,               0.032917,                0.02469,              0.0025517,                0.79583,                0.77523,                0.77909,                0.46887,                0.75136,                0.69866,                 0.7031,                 0.3253,               0.027744,               0.032481,               0.022118,              0.0022625,                0.00682,                0.00682,                0.00682
