                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     47,               0.028969,               0.029528,               0.022737,              0.0025503,                0.84598,                0.76949,                0.80911,                0.48837,                 0.7724,                0.71392,                0.71184,                0.33145,               0.025821,               0.030029,               0.021258,              0.0022577,                0.00862,                0.00862,                0.00862
                     48,               0.029638,               0.029627,               0.023176,              0.0024778,                0.79924,                0.79351,                0.80684,                0.49406,                0.73739,                0.74598,                0.73475,                0.33809,               0.026035,                0.03008,               0.021077,              0.0023262,                0.00859,                0.00859,                0.00859
                     49,               0.029515,               0.029996,               0.022957,              0.0024479,                0.83316,                 0.7457,                0.79358,                0.48925,                0.77244,                0.72128,                 0.7265,                0.34141,               0.026124,               0.030507,               0.021331,              0.0022795,                0.00856,                0.00856,                0.00856
                     50,               0.029463,               0.029475,               0.023148,              0.0023993,                0.84921,                0.74794,                0.80478,                0.48557,                0.79396,                0.70683,                0.73143,                0.36044,               0.025881,               0.029659,                0.02105,              0.0022847,                0.00853,                0.00853,                0.00853
                     51,               0.029361,               0.029432,               0.022602,               0.002482,                 0.8367,                0.77091,                 0.8194,                0.48993,                0.78585,                0.70939,                0.72546,                0.34677,               0.025526,               0.029334,                0.02105,              0.0022009,                 0.0085,                 0.0085,                 0.0085
                     52,               0.028492,               0.029092,               0.022843,              0.0023269,                0.84104,                0.76893,                0.80522,                0.49943,                0.78576,                0.72874,                0.73053,                0.37059,               0.025588,               0.029611,               0.020997,              0.0021558,                0.00847,                0.00847,                0.00847
                     53,               0.028626,               0.029145,               0.022354,              0.0024119,                0.83874,                0.77838,                0.81235,                0.50498,                0.80363,                0.74866,                0.75675,                0.36744,               0.025374,               0.029766,               0.021019,              0.0021429,                0.00844,                0.00844,                0.00844
                     54,               0.028537,               0.029124,               0.022815,              0.0022566,                0.84485,                0.78907,                0.82483,                0.50672,                0.81492,                0.75476,                0.77065,                0.35663,               0.025501,               0.029574,               0.021023,              0.0020686,                0.00841,                0.00841,                0.00841
                     55,               0.028582,               0.028766,               0.022474,              0.0023138,                0.86698,                0.76735,                0.81868,                0.50897,                0.80761,                0.71786,                0.73003,                 0.3566,               0.025295,               0.029711,                0.02125,              0.0021859,                0.00838,                0.00838,                0.00838
                     56,               0.028653,               0.028841,               0.022388,                0.00228,                0.84564,                0.78562,                0.81673,                0.50178,                0.81062,                0.75188,                0.76083,                0.37234,               0.025456,               0.029218,               0.021078,              0.0021484,                0.00835,                0.00835,                0.00835
                     57,               0.028405,                 0.0286,               0.022544,              0.0023616,                0.78478,                0.80706,                0.80679,                0.49883,                0.76464,                0.74372,                0.72772,                0.35541,               0.025282,               0.029253,               0.021102,              0.0021824,                0.00832,                0.00832,                0.00832
                     58,               0.027864,               0.028277,               0.022275,              0.0022586,                0.85546,                0.77617,                0.82243,                0.51572,                0.82755,                0.76807,                0.79387,                0.37999,               0.025187,               0.029512,               0.020966,              0.0020728,                0.00829,                0.00829,                0.00829
                     59,               0.027968,               0.028556,               0.022452,              0.0022508,                0.84608,                0.76173,                0.82075,                 0.5052,                0.74965,                0.76941,                0.74255,                0.37919,               0.025441,               0.029606,               0.020961,               0.002091,                0.00826,                0.00826,                0.00826
                     60,               0.027731,                0.02853,               0.021863,              0.0022909,                0.84045,                0.75663,                0.80782,                 0.5142,                0.79568,                0.72222,                0.73611,                0.37403,               0.025168,               0.029714,               0.020745,               0.002275,                0.00823,                0.00823,                0.00823
                     61,               0.027634,                 0.0279,               0.021384,              0.0022546,                0.85351,                0.76479,                0.82623,                0.52121,                0.81203,                0.71849,                0.73796,                0.36557,               0.024999,               0.029365,               0.020545,              0.0021554,                 0.0082,                 0.0082,                 0.0082
                     62,               0.027597,               0.028139,               0.021506,               0.002115,                0.82859,                0.80183,                0.82642,                 0.5123,                0.76767,                0.73096,                0.71961,                 0.3466,                0.02502,               0.029211,               0.020734,              0.0021414,                0.00817,                0.00817,                0.00817
                     63,               0.027517,               0.027944,               0.021985,              0.0021043,                0.82973,                0.77472,                0.79729,                0.50242,                0.75028,                0.76021,                0.73814,                0.37028,               0.024985,               0.029354,                0.02054,              0.0021248,                0.00814,                0.00814,                0.00814
                     64,               0.027162,               0.027569,               0.021083,              0.0021203,                0.82953,                0.78076,                0.80938,                0.51734,                0.78983,                0.72511,                0.74111,                0.36682,               0.024963,               0.029197,               0.020816,               0.002111,                0.00811,                0.00811,                0.00811
                     65,               0.026838,               0.027881,               0.022003,              0.0021282,                0.85843,                 0.7857,                0.82428,                0.51431,                0.80554,                0.74279,                0.75031,                0.37473,               0.024984,               0.029439,               0.020756,              0.0020875,                0.00808,                0.00808,                0.00808
                     66,               0.027155,               0.027946,               0.021417,              0.0021846,                0.85689,                0.77967,                0.82809,                0.52562,                0.82491,                0.74598,                 0.7615,                0.38042,               0.024953,               0.028741,               0.020716,              0.0020581,                0.00805,                0.00805,                0.00805
                     67,                 0.0273,               0.028034,               0.021945,              0.0021142,                0.82028,                0.81831,                0.83348,                0.52422,                0.76255,                0.76122,                0.73923,                0.37279,               0.024634,               0.029054,               0.020453,              0.0019782,                0.00802,                0.00802,                0.00802
                     68,                0.02696,               0.027519,               0.021053,              0.0020717,                 0.8612,                0.78523,                0.83847,                0.54009,                 0.8115,                0.74839,                0.77157,                 0.3757,               0.024756,               0.028885,               0.020731,              0.0020294,                0.00799,                0.00799,                0.00799
                     69,               0.026873,               0.028001,               0.021474,              0.0021533,                0.85714,                0.79135,                0.82776,                0.52379,                 0.8059,                0.74557,                 0.7548,                 0.3731,               0.024745,               0.029094,               0.020468,              0.0020735,                0.00796,                0.00796,                0.00796
                     70,               0.026931,               0.027711,               0.021455,              0.0020107,                0.86263,                0.78482,                0.83122,                 0.5219,                0.81892,                0.74224,                0.75478,                0.38001,               0.024752,                0.02901,               0.020547,              0.0021214,                0.00793,                0.00793,                0.00793
                     71,               0.026558,               0.027562,               0.020982,              0.0020952,                0.83801,                0.78243,                0.82192,                0.51545,                0.78355,                 0.7203,                0.71336,                0.36104,               0.024755,               0.028918,               0.020662,              0.0019191,                 0.0079,                 0.0079,                 0.0079
                     72,               0.026874,               0.028399,               0.021847,              0.0020747,                0.85871,                0.80245,                0.82911,                0.52287,                0.77628,                0.72616,                0.70545,                0.33899,               0.024417,               0.028669,               0.020413,              0.0020336,                0.00787,                0.00787,                0.00787
                     73,               0.026542,               0.027833,               0.021756,              0.0020003,                0.82897,                0.82234,                0.83983,                0.53154,                0.76856,                0.75077,                0.72457,                0.37093,               0.024459,               0.028848,               0.020256,              0.0020483,                0.00784,                0.00784,                0.00784
                     74,               0.026434,               0.027583,               0.021175,              0.0020162,                0.85042,                0.79736,                 0.8219,                0.52947,                0.80964,                0.72777,                0.72723,                 0.3573,               0.024447,               0.028698,               0.020294,              0.0021237,                0.00781,                0.00781,                0.00781
                     75,               0.026571,               0.027462,               0.021095,              0.0020543,                 0.8259,                0.79767,                0.82692,                0.52162,                 0.7841,                0.73927,                0.74464,                0.36571,               0.024713,               0.028958,               0.020623,               0.002076,                0.00778,                0.00778,                0.00778
                     76,               0.026483,               0.027423,               0.021231,              0.0020266,                0.85204,                0.79499,                0.81955,                0.53799,                0.81722,                0.74808,                0.75753,                0.38719,               0.024632,               0.029113,               0.020696,              0.0020199,                0.00775,                0.00775,                0.00775
                     77,               0.026492,               0.027605,               0.021526,              0.0020127,                0.84657,                  0.799,                 0.8231,                0.52281,                0.81256,                0.74835,                 0.7429,                 0.3626,               0.024677,               0.028702,               0.020499,              0.0020584,                0.00772,                0.00772,                0.00772
                     78,                0.02634,               0.027202,               0.020686,              0.0020376,                0.82666,                0.81239,                0.83188,                0.53192,                0.76153,                0.73747,                 0.7233,                0.35475,               0.024663,                0.02907,               0.020566,              0.0020999,                0.00769,                0.00769,                0.00769
                     79,               0.026161,                0.02744,               0.021409,              0.0020569,                0.85806,                0.78365,                0.82688,                0.52667,                0.81202,                0.74794,                0.75155,                0.35383,               0.024494,               0.028674,               0.020415,              0.0020144,                0.00766,                0.00766,                0.00766
                     80,               0.026506,               0.027359,               0.021223,              0.0020497,                0.84545,                0.78892,                0.82922,                0.52634,                0.79709,                0.73876,                0.73912,                0.37342,               0.024548,               0.028899,               0.020469,              0.0020055,                0.00763,                0.00763,                0.00763
                     81,               0.025827,               0.027307,               0.021069,              0.0019988,                0.84846,                 0.7996,                0.82556,                0.52864,                0.80519,                0.73611,                0.73793,                0.37384,               0.024264,               0.028717,               0.020303,              0.0020025,                 0.0076,                 0.0076,                 0.0076
                     82,               0.026075,               0.027107,               0.020876,               0.001931,                0.87165,                 0.7851,                0.82766,                 0.5243,                0.81278,                0.74032,                0.73546,                 0.3618,               0.024278,               0.028733,               0.020207,              0.0020283,                0.00757,                0.00757,                0.00757
                     83,               0.025671,               0.027071,               0.021421,              0.0019685,                0.82407,                0.80831,                0.81948,                0.52453,                  0.807,                0.73464,                0.74903,                0.36884,               0.024149,               0.028769,               0.020273,              0.0019807,                0.00754,                0.00754,                0.00754
                     84,               0.025693,               0.027224,               0.020871,              0.0019465,                0.84529,                0.80959,                0.83315,                0.53248,                0.79276,                0.77066,                0.76178,                0.38215,               0.024368,               0.028871,               0.020517,              0.0020226,                0.00751,                0.00751,                0.00751
                     85,               0.025286,               0.026487,               0.020437,              0.0018604,                 0.8736,                0.78463,                0.82597,                0.53295,                0.82591,                0.75128,                0.76978,                0.37523,               0.024223,               0.028798,               0.020161,              0.0020698,                0.00748,                0.00748,                0.00748
                     86,               0.025954,               0.027038,               0.020803,              0.0019007,                0.88204,                  0.778,                0.84422,                0.53631,                0.84243,                0.74813,                 0.7907,                0.40433,               0.024185,               0.028673,               0.020241,              0.0020166,                0.00745,                0.00745,                0.00745
                     87,               0.025533,               0.027055,               0.020813,              0.0019626,                0.85143,                0.80344,                0.83284,                0.52809,                0.80636,                0.76845,                0.76706,                0.37831,               0.024113,               0.028713,               0.020394,              0.0019796,                0.00742,                0.00742,                0.00742
                     88,               0.025507,               0.027259,               0.020474,              0.0019575,                0.82635,                0.81322,                0.84686,                0.53679,                0.83921,                0.75428,                0.79013,                0.39907,                 0.0241,               0.028739,               0.020338,              0.0019921,                0.00739,                0.00739,                0.00739
                     89,               0.025538,               0.026977,               0.020863,              0.0018651,                0.86052,                0.81422,                0.85376,                0.54178,                 0.7986,                0.74532,                 0.7592,                0.36919,               0.023958,               0.028603,               0.020231,              0.0019375,                0.00736,                0.00736,                0.00736
                     90,               0.025377,               0.026878,               0.020698,              0.0018212,                0.85836,                0.78721,                0.82479,                 0.5367,                0.80201,                0.74966,                0.75844,                0.37762,               0.023988,               0.028468,               0.020248,              0.0019993,                0.00733,                0.00733,                0.00733
                     91,               0.025279,                0.02635,               0.020864,              0.0018756,                0.83961,                0.81331,                0.83878,                 0.5314,                0.79022,                 0.7739,                0.76783,                0.39411,               0.023867,               0.028695,               0.020144,              0.0019993,                 0.0073,                 0.0073,                 0.0073
                     92,               0.024811,               0.026141,               0.020013,              0.0017743,                0.85178,                0.79121,                0.82761,                0.53886,                0.81867,                0.75335,                0.76195,                0.39614,               0.024031,               0.028711,                0.02045,              0.0020081,                0.00727,                0.00727,                0.00727
                     93,               0.024894,               0.026455,               0.020504,              0.0018429,                0.88194,                 0.7936,                0.84701,                0.54389,                0.83315,                 0.7524,                0.78478,                0.40777,               0.024024,                0.02865,               0.020206,              0.0020039,                0.00724,                0.00724,                0.00724
                     94,               0.025054,               0.026264,               0.020665,              0.0018915,                0.86748,                0.79184,                0.83326,                0.53779,                   0.84,                0.77234,                0.78228,                0.40367,               0.023954,               0.028474,               0.020177,              0.0021078,                0.00721,                0.00721,                0.00721
                     95,               0.025031,               0.026476,               0.020272,              0.0017921,                0.82837,                0.81147,                0.83319,                0.53701,                0.82822,                0.74049,                0.76706,                0.39868,               0.024145,               0.028631,               0.020456,              0.0019992,                0.00718,                0.00718,                0.00718
                     96,                0.02502,               0.026377,               0.020172,              0.0017282,                 0.8858,                0.77128,                0.83997,                0.53693,                0.82084,                0.72934,                 0.7518,                0.38696,               0.024083,               0.028507,               0.020306,              0.0019448,                0.00715,                0.00715,                0.00715
                     97,               0.024939,               0.026158,               0.019993,              0.0017172,                0.86409,                0.79897,                0.83816,                0.53694,                0.82251,                 0.7482,                 0.7604,                0.39626,                0.02393,               0.028347,               0.020252,              0.0018832,                0.00712,                0.00712,                0.00712
                     98,               0.024901,               0.026176,               0.020295,               0.001823,                0.86994,                0.78394,                0.83134,                0.54246,                0.82149,                0.74856,                0.76633,                 0.4018,               0.023905,               0.028209,                0.02042,              0.0019756,                0.00709,                0.00709,                0.00709
                     99,               0.024889,               0.026293,               0.020351,              0.0018274,                0.88639,                0.78202,                0.84271,                 0.5387,                0.80394,                0.72652,                0.72564,                0.37891,                 0.0237,               0.028169,               0.020192,              0.0019257,                0.00706,                0.00706,                0.00706
                    100,               0.024373,               0.026004,               0.019767,               0.001706,                0.86454,                0.78834,                0.84478,                0.55063,                0.81805,                0.73516,                0.75278,                0.37831,               0.023696,                0.02822,               0.020191,              0.0019529,                0.00703,                0.00703,                0.00703
                    101,               0.024382,               0.025807,               0.019865,              0.0017786,                0.84071,                0.80812,                 0.8406,                0.54697,                0.81589,                0.75027,                0.77043,                0.38001,               0.023669,               0.028385,               0.020082,              0.0019107,                  0.007,                  0.007,                  0.007
                    102,               0.024785,               0.025908,               0.019953,              0.0016848,                0.87321,                0.79142,                0.84344,                0.54094,                0.83478,                0.76268,                 0.7914,                0.40409,               0.023781,               0.028199,               0.020259,              0.0019049,                0.00697,                0.00697,                0.00697
                    103,               0.024554,                0.02586,               0.019912,              0.0018128,                0.85876,                0.79091,                0.83509,                0.54266,                 0.8046,                0.74954,                0.75377,                0.39468,                0.02374,               0.028519,               0.020518,              0.0019404,                0.00694,                0.00694,                0.00694
                    104,               0.024393,               0.026067,               0.020064,               0.001805,                0.87308,                 0.7951,                 0.8421,                0.54519,                0.82897,                0.75943,                0.78405,                0.40146,               0.023809,                0.02843,               0.020269,              0.0018078,                0.00691,                0.00691,                0.00691
                    105,               0.024454,               0.025929,               0.019802,              0.0017497,                0.85376,                0.80226,                 0.8469,                0.54828,                0.81296,                0.76832,                0.78158,                 0.4008,               0.023661,               0.028213,               0.020036,              0.0019658,                0.00688,                0.00688,                0.00688
                    106,               0.024068,               0.025863,               0.020036,              0.0017975,                0.86511,                0.78829,                0.84936,                0.54489,                0.81938,                0.73277,                0.74752,                0.38125,               0.023756,               0.028389,               0.020146,              0.0018955,                0.00685,                0.00685,                0.00685
                    107,               0.024327,               0.025822,               0.019874,              0.0017581,                0.86772,                0.80072,                 0.8494,                0.54649,                0.85381,                0.77245,                0.80349,                 0.4019,               0.023965,               0.028391,               0.020255,              0.0018432,                0.00682,                0.00682,                0.00682
